unresolved_name,n_sources,tier,suggested_canonical,all_candidates,sources_referencing,synonyms_from_sources,grin_accession_id,action,notes
TEINTURIER DU CHER,1,tier3,TEINTURIER,TEINTURIER | PLANT TEINTURIER DU PLANTOU | PAMID CHER | CHER ALI SAFID | PINOT TEINTURIER | PINOT TEINTURIER BURY | GAMAY TEINTURIER FREAUX | GAMAY TEINTURIER DE BOUZE | PINEAU D'AUNIS TEINTURIER | ARAMON TEINTURIER BOUSCHET,vivc confirmed,,,,
TELEKI   5 A,1,tier3,TELEKI 5 C,TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A | TELEKI B | TELEKI C | TELEKI D | TELEKI E | TELEKI F,vivc confirmed,,,,
TELEKI   5 C,1,tier3,TELEKI 5 C,TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A | TELEKI B | TELEKI C | TELEKI D | TELEKI E | TELEKI F,vivc confirmed,,,,
TELEKI   8 B,1,tier3,TELEKI 5 C,TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A | TELEKI B | TELEKI C | TELEKI D | TELEKI E | TELEKI F,vivc confirmed,,,,
TELEKI   8 B SEL. FERRARI,1,tier3,TELEKI 8 B SEL. FERRARI,TELEKI 8 B SEL. FERRARI | TELEKI 8 B SEL. DURLACH | TELEKI 8 B SEL. DURLACH 50 | TELEKI 8 B SEL. DURLACH 51 | TELEKI 8 B SEL. DURLACH 52 | TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A,vivc confirmed,,,,
TELEKI  10 A,1,tier3,TELEKI 5 C,TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A | TELEKI B | TELEKI C | TELEKI D | TELEKI E | TELEKI F,vivc confirmed,,,,
TELEKI 5C,1,tier3,TELEKI 5 C,TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A | TELEKI B | TELEKI C | TELEKI D | TELEKI E | TELEKI F,ssr migliaro,,,,
TELEKI 8B,1,tier3,TELEKI 5 C,TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A | TELEKI B | TELEKI C | TELEKI D | TELEKI E | TELEKI F,ssr migliaro,,,,
TELEKI 8B FERRARI,1,tier3,TELEKI 8 B SEL. FERRARI,TELEKI 8 B SEL. FERRARI | TELEKI 5 C | TELEKI 8 B | TELEKI 5 A | TELEKI 10 A | TELEKI A | TELEKI B | TELEKI C | TELEKI D | TELEKI E,ssr migliaro,,,,
TEMPRANILLA BLANCA = SANTA MAGDALENA,1,tier3,SANTA MAGDALENA,SANTA MAGDALENA,laucou 2018,,,,
TERESITA = DALMASSO XVIII‐24,1,tier3,DALMASSO 10-10,DALMASSO 10-10 | DALMASSO 11- 2 | DALMASSO 11- 5 | DALMASSO 11- 8 | TERESITA | DALMASSO 10- 4 | DALMASSO 11- 6 | DALMASSO 11-20 | DALMASSO 15-28 | DALMASSO 15-33,ssr lacombe,,,,
TERMARINA (SCIACCARELLO),1,tier3,TERMARINA,TERMARINA,lac emanuelli 2020,,,,
TERZI     1,1,tier3,TERZI 1,TERZI 1 | TERZI 2 | TERZI 530 | TERZI 1- 6 | TERZI 3- 3 | TERZI 6- 6 | TERZI 7- 7 | TERZI 6- 26 | TERZI 72- 6 | TERZI 96- 1,vivc confirmed,,,,
TERZI 100.31,1,tier3,TERZI 1,TERZI 1 | TERZI 2 | TERZI 530 | TERZI 1- 6 | TERZI 3- 3 | TERZI 6- 6 | TERZI 7- 7 | TERZI 6- 26 | TERZI 72- 6 | TERZI 96- 1,lac emanuelli 2020,,,,
TETA DE VACA (SPAIN),1,tier3,TETA DE VACA TINTA,TETA DE VACA TINTA | TETA DE VACA BLANCA | RABO DE VACA | PEZON DE VACA | TETA DA BURRA | TETA DA NEGRA | MAMELLA DE VACA,laucou 2018,,,,
TETA DE VACA = DE CUERNO,1,tier3,TETA DE VACA TINTA,TETA DE VACA TINTA | TETA DE VACA BLANCA | RABO DE VACA | PEZON DE VACA | TETA DA BURRA | TETA DA NEGRA | MAMELLA DE VACA,laucou 2018,,,,
THALLOCSY LAJOS MUSKOTALY = MUSCAT D'ALEXANDRIE,1,tier3,KOSSUTH LAJOS MUSKOTALY,KOSSUTH LAJOS MUSKOTALY,lacombe 2013,,,,
TINTA CÃO,1,tier3,TINTA BARROCA,TINTA BARROCA | GARNACHA TINTA | FORCALLAT TINTA | TINTA FRANCISCA | ROJAL TINTA | TINTA POMAR | TINTA TINTO | ANADIA TINTA | TINTA AGUIAR | TINTA FONTES,ssr oliveira,,,,
TINTA DA MADEIRA,1,tier3,TINTA BARROCA,TINTA BARROCA | GARNACHA TINTA | FORCALLAT TINTA | TINTA FRANCISCA | ROJAL TINTA | TINTA POMAR | TINTA TINTO | ANADIA TINTA | TINTA AGUIAR | TINTA FONTES,vivc confirmed,,,,
TINTA RORIZ,1,tier3,TINTA BARROCA,TINTA BARROCA | GARNACHA TINTA | FORCALLAT TINTA | TINTA FRANCISCA | ROJAL TINTA | TINTA POMAR | TINTA TINTO | ANADIA TINTA | TINTA AGUIAR | TINTA FONTES,ssr oliveira,,,,
TINTINHA (COLLECTION ESPORAO) CASTELÃO = PERIQUITA,1,tier3,TINTINHA (COLLECTION ESPORAO),TINTINHA (COLLECTION ESPORAO),lacombe 2013,,,,
TITA KARTLIS,1,tier3,KARTLIS TITA,KARTLIS TITA | TITA | TITA RBILI | TITA SHAVI | TITA KAKHURI | TITA VACHINA | KARTLIS TETRI | TITA NAMDVILI | TCHROGA KARTLIS | TKVLAPA KARTLIS,lac emanuelli 2020,,,,
TORRONTÉS RIOJANO,1,tier3,TORRONTES RIOJANO,TORRONTES RIOJANO,laucou 2018,,,,
TOSCA BIANCA,1,tier3,UVA TOSCA BIANCA,UVA TOSCA BIANCA | BERMESTIA BIANCA | MALVASIA BIANCA | BIANCA | MALVASIA BIANCA LUNGA | UVA TOSCA | MARZEMINA BIANCA | VERNACCIA BIANCA | MENNA DI VACCA BIANCA | ALBANA BIANCA,lac emanuelli 2020,,,,
TRAMINER ROT,1,tier3,TRAMINER GRIS,TRAMINER GRIS | TRAMINER SIGNUM | TRAMINER STELLA,vivc confirmed,,,,
TROLLINGER FAUX (COLLECTION COLMAR) LASKA,1,tier3,EARLY DAWN FAUX (COLLECTION RAVAZ),EARLY DAWN FAUX (COLLECTION RAVAZ) | EKIM KARA FAUX (COLLECTION CONEGLIANO) | ICHKIMAR BELYI FAUX (COLLECTION KICHINEV) | MOSCATEL DE OEIRAS FAUX (COLLECTION BORDEAUX),lacombe 2013,,,,
TSIMLYANSKIY CHERNYI,1,tier3,ODESSKII CHERNYI,ODESSKII CHERNYI | KISHMISH CHERNYI | LKENY CHERNYI | OSENNII CHERNYI | ARAKSENI CHERNYI | CHILYAKI CHERNYI | KUTLAKSKII CHERNYI | KUMSHATSKII CHERNYI | ANDIZHANSKII CHERNYI | TSIMLYANSKII CHERNYI,vivc confirmed,,,,
TÊTE D'OR),1,tier3,SALICETTE (COLLECTION PARC DE LA TETE D'OR),SALICETTE (COLLECTION PARC DE LA TETE D'OR),lacombe 2013,,,,
UGNI BLANC = TREBBIANO TOSCANO UGNI BLANC = TREBBIANO TOSCANO,1,tier3,TREBBIANO TOSCANO,TREBBIANO TOSCANO | MAINGONNAT BELDI X UGNI BLANC | UGNI BLANC FLESHLESS BERRY | UGNI BLANC A FEUILLE DECOUPEE,lacombe 2013,,,,
UNKNOWN GRAPEVINE CA 10.1,1,tier3,VINELAND DWARF GRAPEVINE 001,VINELAND DWARF GRAPEVINE 001 | VINELAND DWARF GRAPEVINE 002 | VINELAND DWARF GRAPEVINE 003 | VINELAND DWARF GRAPEVINE 004,laucou 2018,,,,
URBANITRAUBE NOIR,1,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,lac emanuelli 2020,,,,
URBANITRAUBE NOIR (COLLECTION OBERLIN),1,tier3,SALICETTE (COLLECTION OBERLIN),SALICETTE (COLLECTION OBERLIN),laucou 2018,,,,
UVA ACETO,1,tier3,ACETO,ACETO,vivc confirmed,,,,
UVA D’ORO BIANCA,1,tier3,BERMESTIA BIANCA,BERMESTIA BIANCA | MALVASIA BIANCA | BIANCA | MALVASIA BIANCA LUNGA | MARZEMINA BIANCA | VERNACCIA BIANCA | MENNA DI VACCA BIANCA | ALBANA BIANCA | BIONDA BIANCA | ALLIANA BIANCA,lac emanuelli 2020,,,,
UVA SACRA (UVA SOGRA),1,tier3,UVA SACRA,UVA SACRA | SACRA NERA,lac emanuelli 2020,,,,
V. RIPARIA FABRE,1,tier3,RIPARIA GLOIRE DE MONTPELLIER,RIPARIA GLOIRE DE MONTPELLIER | RIPARIA TOMENTEUX | RIPARIA GRAND GLABRE | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89 | RIPARIA B-75 | RIPARIA GREM | RIPARIA TRIER,ssr migliaro,,,,
V. RIPARIA GLOIRE DE MONTPELLIER,1,tier3,RIPARIA GLOIRE DE MONTPELLIER,RIPARIA GLOIRE DE MONTPELLIER | RKATSITELI X RIPARIA GLOIRE 14 | RIPARIA TOMENTEUX | ECOLE MONTPELLIER 34 | RIPARIA GRAND GLABRE | ECOLE MONTPELLIER 142 | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89,ssr migliaro,,,,
V. RIPARIA GRAND GLABRE,1,tier3,RIPARIA GRAND GLABRE,RIPARIA GRAND GLABRE | RIPARIA GRAND FEUILLE | GRAND NOIR | RIPARIA GLOIRE DE MONTPELLIER | RIPARIA TOMENTEUX | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89 | HIBOU GLABRE,ssr migliaro,,,,
V. RIPARIA LOMBARD,1,tier3,RIPARIA LOMBARD,RIPARIA LOMBARD | RIPARIA GLOIRE DE MONTPELLIER | RIPARIA TOMENTEUX | RIPARIA GRAND GLABRE | LOMBARD | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89 | RIPARIA B-75,ssr migliaro,,,,
V. RIPARIA MARTIN DES PAILLIERES,1,tier3,RIPARIA MARTIN DE PERRIER,RIPARIA MARTIN DE PERRIER | RIPARIA MARTIN DES PALLIERES | RIPARIA GLOIRE DE MONTPELLIER | RUPESTRIS MARTIN | RIPARIA TOMENTEUX | RIPARIA GRAND GLABRE | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89,ssr migliaro,,,,
V. RIPARIA PUBESCENT BLANC,1,tier3,RIPARIA PUBESCENT BLEU,RIPARIA PUBESCENT BLEU | RIPARIA PUBESCENT DENIS | RIPARIA PUBESCENT GRIS 2 | RIPARIA PUBESCENT TYP BOERNER | RIPARIA PUBESCENT KLOSTERNEUBURG | CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC,ssr migliaro,,,,
V. RIPARIA SCRIBNER,1,tier3,RIPARIA SCRIBNER,RIPARIA SCRIBNER | RIPARIA GLOIRE DE MONTPELLIER | RIPARIA TOMENTEUX | RIPARIA GRAND GLABRE | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89 | RIPARIA B-75 | RIPARIA GREM,ssr migliaro,,,,
V. RIPARIA SERICEA,1,tier3,RIPARIA SERICEA,RIPARIA SERICEA | RIPARIA GLOIRE DE MONTPELLIER | RIPARIA TOMENTEUX | RIPARIA GRAND GLABRE | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89 | RIPARIA B-75 | RIPARIA GREM,ssr migliaro,,,,
V. RIPARIA SOMBRE,1,tier3,RIPARIA SOMBRE,RIPARIA SOMBRE | RIPARIA GLOIRE DE MONTPELLIER | RIPARIA TOMENTEUX | RIPARIA GRAND GLABRE | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89 | RIPARIA B-75 | RIPARIA GREM,ssr migliaro,,,,
V. RIPARIA TOMENTEUX,1,tier3,RIPARIA TOMENTEUX,RIPARIA TOMENTEUX | RIPARIA GLOIRE DE MONTPELLIER | RIPARIA GRAND GLABRE | RIPARIA 39 | RIPARIA 74 | RIPARIA 86 | RIPARIA 89 | RIPARIA B-75 | RIPARIA GREM | RIPARIA TRIER,ssr migliaro,,,,
V. RUPESTRIS CONSTANTIA,1,tier3,RUPESTRIS CONSTANTIA MOTHER 240,RUPESTRIS CONSTANTIA MOTHER 240 | RUPESTRIS DU LOT | RUPESTRIS GANZIN | RUPESTRIS MARTIN | RUPESTRIS FORTWORTH 1 | RUPESTRIS MADERA ROJA | RUPESTRIS ALPHONSE DE SERRES | RUPESTRIS Y | RUPESTRIS 1595 | RUPESTRIS B 38,ssr migliaro,,,,
V. RUPESTRIS GAILLARD,1,tier3,RUPESTRIS GAILLARD,RUPESTRIS GAILLARD | RUPESTRIS DU LOT | GAILLARD 2 | RUPESTRIS GANZIN | RUPESTRIS MARTIN | RUPESTRIS FORTWORTH 1 | RUPESTRIS MADERA ROJA | RUPESTRIS ALPHONSE DE SERRES | GAILLARD 21 | RUPESTRIS Y,ssr migliaro,,,,
V. RUPESTRIS MARTIN,1,tier3,RUPESTRIS MARTIN,RUPESTRIS MARTIN | RUPESTRIS DU LOT | RUPESTRIS GANZIN | RUPESTRIS FORTWORTH 1 | RUPESTRIS MADERA ROJA | RUPESTRIS ALPHONSE DE SERRES | RUPESTRIS Y | RUPESTRIS 1595 | RUPESTRIS B 38 | RUPESTRIS GEANT,ssr migliaro,,,,
V. RUPESTRIS METALLIQUE,1,tier3,RUPESTRIS METALLIQUE,RUPESTRIS METALLIQUE | RUPESTRIS DU LOT | RUPESTRIS GANZIN | RUPESTRIS MARTIN | RUPESTRIS FORTWORTH 1 | RUPESTRIS MADERA ROJA | RUPESTRIS ALPHONSE DE SERRES | RUPESTRIS Y | RUPESTRIS 1595 | RUPESTRIS B 38,ssr migliaro,,,,
V. RUPESTRIS VELLETRI,1,tier3,RUPESTRIS VELLETRI,RUPESTRIS VELLETRI | RUPESTRIS DU LOT | RUPESTRIS GANZIN | RUPESTRIS MARTIN | RUPESTRIS FORTWORTH 1 | RUPESTRIS MADERA ROJA | RUPESTRIS ALPHONSE DE SERRES | RUPESTRIS Y | RUPESTRIS 1595 | RUPESTRIS B 38,ssr migliaro,,,,
V. VINIFERA,1,tier3,DAVIDII X VINIFERA GF3,DAVIDII X VINIFERA GF3 | VITIS VINIFERA L. SUBSP. SYLVESTRIS (GMELIN) HEGI | VITIS VINIFERA LINNE SUBSP. SATIVA (DE CANDOLLE) HEGI,liang 2019,,,,
V.LABRUSCA LINNE,1,tier3,VITIS LABRUSCA LINNE,VITIS LABRUSCA LINNE | LINNE | HORTI LINNE | PARTHENOCISSUS QUINQUEFOLIA LINNE | VITIS VINIFERA LINNE SUBSP. SATIVA (DE CANDOLLE) HEGI,liang 2019,,,,
VALENCI (BEBA),1,tier3,VALENCI TINTO,VALENCI TINTO,lac emanuelli 2020,,,,
VALENCÍ BLANCO,1,tier3,VERDEJO BLANCO,VERDEJO BLANCO | PALO BLANCO | CAINO BLANCO | ABOQUEL BLANCO | DE JOSE BLANCO | DIRECTO BLANCO | BASTARDO BLANCO | LOUREIRO BLANCO | MOSCATEL BLANCO | VIJARIEGO BLANCO,laucou 2018,,,,
VALENSI NOIR,1,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,laucou 2018,,,,
VARIETE D'OASIS TOZEUR   7,1,tier3,VARIETE D'OASIS TOZEUR 1,VARIETE D'OASIS TOZEUR 1 | VARIETE D'OASIS TOZEUR 7 | VARIETE D'OASIS TOZEUR 9 | VARIETE D'OASIS TOZEUR 17 | VARIETE D'OASIS TOZEUR 22 | VARIETE D'OASIS TOZEUR 25 | VARIETE D'OASIS TOZEUR 26 | VARIETE D'OASIS DEGACHE 28 | VARIETE D'OASIS X | VARIETE D'OASIS NEFTA 38,vivc confirmed,,,,
VARIETE D'OASIS TOZEUR   9,1,tier3,VARIETE D'OASIS TOZEUR 1,VARIETE D'OASIS TOZEUR 1 | VARIETE D'OASIS TOZEUR 7 | VARIETE D'OASIS TOZEUR 9 | VARIETE D'OASIS TOZEUR 17 | VARIETE D'OASIS TOZEUR 22 | VARIETE D'OASIS TOZEUR 25 | VARIETE D'OASIS TOZEUR 26 | VARIETE D'OASIS DEGACHE 28 | VARIETE D'OASIS X | VARIETE D'OASIS NEFTA 38,vivc confirmed,,,,
VARIÉTÉ D'OASIS BOU CHEMMA 46,1,tier3,VARIETE D'OASIS TOZEUR 1,VARIETE D'OASIS TOZEUR 1 | VARIETE D'OASIS DEGACHE 28 | VARIETE D'OASIS X | VARIETE D'OASIS NEFTA 38 | VARIETE D'OASIS TOZEUR 7 | VARIETE D'OASIS TOZEUR 9 | VARIETE D'OASIS TOZEUR 17 | VARIETE D'OASIS TOZEUR 22 | VARIETE D'OASIS TOZEUR 25 | VARIETE D'OASIS TOZEUR 26,laucou 2018,,,,
VARIÉTÉ D'OASIS DEGACHE 28,1,tier3,VARIETE D'OASIS DEGACHE 28,VARIETE D'OASIS DEGACHE 28 | VARIETE D'OASIS DEGACHE 30 | VARIETE D'OASIS TOZEUR 1 | VARIETE D'OASIS X | VARIETE D'OASIS NEFTA 38 | VARIETE D'OASIS TOZEUR 7 | VARIETE D'OASIS TOZEUR 9 | VARIETE D'OASIS TOZEUR 17 | VARIETE D'OASIS TOZEUR 22 | VARIETE D'OASIS TOZEUR 25,ssr lacombe,,,,
VARIÉTÉ D'OASIS TOZEUR 1,1,tier3,VARIETE D'OASIS TOZEUR 1,VARIETE D'OASIS TOZEUR 1 | VARIETE D'OASIS TOZEUR 7 | VARIETE D'OASIS TOZEUR 9 | VARIETE D'OASIS TOZEUR 17 | VARIETE D'OASIS TOZEUR 22 | VARIETE D'OASIS TOZEUR 25 | VARIETE D'OASIS TOZEUR 26 | VARIETE D'OASIS DEGACHE 28 | VARIETE D'OASIS X | VARIETE D'OASIS NEFTA 38,ssr lacombe,,,,
VENUS SEEDLESS,1,tier3,RUBY SEEDLESS,RUBY SEEDLESS | BEAUTY SEEDLESS | EINSET SEEDLESS | EMERALD SEEDLESS | CENTENNIAL SEEDLESS | DAWN SEEDLESS | CANNER SEEDLESS | BRONX SEEDLESS | FLAME SEEDLESS | MUSCAT SEEDLESS,liang 2019,,,,
VERNACCIA DI ORISTANO (SPERGOLA),1,tier3,VERNACCIA DI ORISTANO,VERNACCIA DI ORISTANO | VERNACCIA BIANCA | VERNACCIA DI SAN GIMIGNANO | VERNACCIA NERA | VERNACCIA USSANA | VERNACCIA DI VIGNA | VERNACCIA MOSCATELLA | VERNACCIA DI SARDEGNA | VERNACCIA ESCALAPLANO | VERNACCIA NERA DI FERMO,lac emanuelli 2020,,,,
VERTKVITCHALIS TETRI,1,tier3,TSNORIS TETRI,TSNORIS TETRI | KHARISTVALA TETRI | ALEXANDROULI TETRI | RKO TETRI | BUERI TETRI | GOMIS TETRI | KUMSI TETRI | MAURI TETRI | ALMURA TETRI | KAKHIS TETRI,lac emanuelli 2020,,,,
VERUES DE HUARTE,1,tier3,BERUES DE HUARTE,BERUES DE HUARTE,lac emanuelli 2020,,,,
VERUÉS DE HUARTE,1,tier3,BERUES DE HUARTE,BERUES DE HUARTE,laucou 2018,,,,
VICTOR = PIROVANO 314,1,tier3,VICTOR,VICTOR | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013,,,,
VIDAL   36,1,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC | VIDAL 107,vivc confirmed,,,,
VIDAL   98 T,1,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC | VIDAL 107,vivc confirmed,,,,
VIDAL   99 T,1,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC | VIDAL 107,vivc confirmed,,,,
VIDAL  117,1,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC | VIDAL 107,vivc confirmed,,,,
VIDAL  662,1,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC | VIDAL 107,vivc confirmed,,,,
VIDAL  678,1,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC | VIDAL 107,vivc confirmed,,,,
VIGNE SAUVAGE FAUX MOUCHOUSES 1,1,tier3,VIGNE SAUVAGE FAUX,VIGNE SAUVAGE FAUX | VIGNE SAUVAGE FAUX OBERLIN 3 | VIGNE SAUVAGE FAUX FETHIYE 58-64 | VIGNE SAUVAGE FAUX GUEMUELDER 105-64 | VIGNE SAUVAGE FAUX PUENTE DE EL BURGO,lac emanuelli 2020,,,,
VINHAO = SOUZAO,1,tier3,VINHAO,VINHAO,vivc confirmed,,,,
VITIS BERLANDIERI RESSEGUIER N. 2,1,tier3,BERLANDIERI RESSEGUIER 1,BERLANDIERI RESSEGUIER 1 | BERLANDIERI RESSEGUIER 2 | BERLANDIERI RESSEGUIER 3 | BERLANDIERI RESSEGUIER 4 | BERLANDIERI RESSEGUIER 5 | BERLANDIERI RESSEGUIER 6 | BERLANDIERI RESSEGUIER 7 | BERLANDIERI RESSEGUIER 8 | BERLANDIERI RESSEGUIER 9 | BERLANDIERI RESSEGUIER 13,ssr migliaro,,,,
VITIS BOURQUINA #,1,tier3,VITIS BOURQUINA MUNSON,VITIS BOURQUINA MUNSON | VITIS LABRUSCA LINNE | VITIS AMURENSIS RUPRECHT | VITIS CINEREA ENGELMANN VAR. CINEREA | VITIS THUNBERGII SIEBOLD ET ZUCCARINA | VITIS PALATA | VITIS VULPINA | VITIS HUI CHENG | VITIS SOLA BAILEY | VITIS BASHANICA HE,ssr oliveira,,,,
VITIS CHAMPINII #,1,tier3,VITIS CHAMPINII PLANCHON,VITIS CHAMPINII PLANCHON | VITIS LABRUSCA LINNE | VITIS AMURENSIS RUPRECHT | VITIS CINEREA ENGELMANN VAR. CINEREA | VITIS THUNBERGII SIEBOLD ET ZUCCARINA | VITIS PALATA | VITIS VULPINA | CHAMPINII 1279 | CHAMPINII 1386 | CHAMPINII 1588,ssr oliveira,,,,
VITIS NOVAE-ANGLIAE FERNALD,1,tier3,VITIS LABRUSCA LINNE,VITIS LABRUSCA LINNE | VITIS AMURENSIS RUPRECHT | VITIS CINEREA ENGELMANN VAR. CINEREA | VITIS THUNBERGII SIEBOLD ET ZUCCARINA | VITIS PALATA | VITIS VULPINA | VITIS HUI CHENG | VITIS SOLA BAILEY | VITIS BASHANICA HE | VITIS ILLEX BAILEY,ssr migliaro,,,,
VITIS RIPARIA COLORADO,1,tier3,VITIS RIPARIA MICHAUX,VITIS RIPARIA MICHAUX | RIPARIA GLOIRE DE MONTPELLIER | RIO COLORADO | VITIS LABRUSCA LINNE | RIPARIA TOMENTEUX | RIPARIA GRAND GLABRE | COLORADO JARDIN MALEGUE | VITIS AMURENSIS RUPRECHT | VITIS CINEREA ENGELMANN VAR. CINEREA | VITIS THUNBERGII SIEBOLD ET ZUCCARINA,ssr migliaro,,,,
VITIS ROTUNDIFOLIA,1,tier3,MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA,MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA | VITIS LABRUSCA LINNE | VITIS AMURENSIS RUPRECHT | VITIS CINEREA ENGELMANN VAR. CINEREA | VITIS THUNBERGII SIEBOLD ET ZUCCARINA | VITIS PALATA | VITIS VULPINA | VITIS HUI CHENG | VITIS SOLA BAILEY | VITIS BASHANICA HE,ssr oliveira,,,,
VITIS RUPESTRIS DU LOT,1,tier3,VITIS RUPESTRIS HYBRID,VITIS RUPESTRIS HYBRID | VITIS RUPESTRIS SCHEELE | VITIS RUPESTRIS SCHEELE (4N) | RUPESTRIS DU LOT | VITIS LABRUSCA LINNE | RUPESTRIS GANZIN | RUPESTRIS MARTIN | RUPESTRIS FORTWORTH 1 | RUPESTRIS MADERA ROJA | VITIS AMURENSIS RUPRECHT,ssr migliaro,,,,
VITIS VINIFERA SUBSP. VINIFERA LINNE,1,tier3,VITIS VINIFERA LINNE SUBSP. SATIVA (DE CANDOLLE) HEGI,VITIS VINIFERA LINNE SUBSP. SATIVA (DE CANDOLLE) HEGI | VITIS VINIFERA L. SUBSP. SYLVESTRIS (GMELIN) HEGI | VITIS LABRUSCA LINNE | DAVIDII X VINIFERA GF3,liang 2019,,,,
VIVONA   378,1,tier3,VIVONA 1,VIVONA 1 | VIVONA 3 | VIVONA 7 | VIVONA 9 | VIVONA 11 | VIVONA 12 | VIVONA 13 | VIVONA 14 | VIVONA 15 | VIVONA 180,vivc confirmed,,,,
VRH3082-  1- 42,1,tier3,VRH3082- 1- 24,VRH3082- 1- 24 | VRH3082- 1- 32 | VRH3082- 1- 42 | VRH3082- 1- 49 | VRH3082- 1- 72,vivc confirmed,,,,
WEISSER GUTEDEL,1,tier3,GUTEDEL MALAGA,GUTEDEL MALAGA | HAINER WEISSER | WEISSER AENGSTLER,vivc confirmed,,,,
WHITE MUSCAT (COLLECTION BLACK MOROCCO,1,tier3,BLACK MOROCCO,BLACK MOROCCO | WHITE MUSCAT | BLACK MUSCAT | NORTHERN MUSCAT WHITE,lacombe 2013,,,,
WILDBACHER SPÄTBLAU,1,tier3,WILDBACHER DE HONGRIE,WILDBACHER DE HONGRIE | WILDBACHER BLAU | WILDBACHER FRUEH BLAU | WILDBACHER SPAET BLAU | WILDBACHER SCHLEHENBLAU,lac emanuelli 2020,,,,
YAKDONA KIZIL,1,tier3,KIZIL SAPAK FAUX,KIZIL SAPAK FAUX | YAKDONA KIZYL | DIK KIZIL UEZUEM | YAKDONA | IRI KIZIL | KIZIL BOZ | KIZIL ATIM | OBAK KIZIL | ANNAT KIZIL | KIZIL SAPAK,lac emanuelli 2020,,,,
ZALA GYOENGUE,1,tier3,ZALA GYOENGYE,ZALA GYOENGYE | ZALA GYOENGYE (NON IDENTIFIED),vivc confirmed,,,,
ZEINI BALADI NO. 2,1,tier3,ZEINI BALADI,ZEINI BALADI | ZEINI | BALADI | ZEINI ARUV | KISI BALADI | ZEINI ABIAD | ZEINI AHMAR | ZEINI RAFIH | BALADI HAFFE | KAISI BALADI,liang 2019,,,,
ZHEMCHUG SABA,1,tier3,SOVETSKII ZHEMCHUG,SOVETSKII ZHEMCHUG,vivc confirmed,,,,
