child_variety,vivc_no,source_code,author,year,title,doi,n_loci
ROXO FLOR,17717,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
ROXO REI,10271,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
ROYAL VINEYARD,24388,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,19
RUBI,10299,40121,"BOURSIQUOT, J.-M.; LACOMBE, T.; BOWERS, J.; MEREDITH, C.",2004,"Le Gouais, un cépage clé du patrimoine viticole Européen",,14
RUBI,10299,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUBIN GOLODRIGI,16980,40198,"GORYSLAVETS, S.; RISOVANNA, V.; BACILIERI, R.; HAUSMANN, J.-F.; HEUERTZ, M.",2010,A parentage study of closely related Ukrainian wine grape varieties using microsatellite markers,10.3103/S0095452710020040,6
RUBINOVYI MAGARACHA,7088,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
RUBINOVYI MAGARACHA,7088,40198,"GORYSLAVETS, S.; RISOVANNA, V.; BACILIERI, R.; HAUSMANN, J.-F.; HEUERTZ, M.",2010,A parentage study of closely related Ukrainian wine grape varieties using microsatellite markers,10.3103/S0095452710020040,6
RUBINOVYI MAGARACHA,7088,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUBIRED,10308,1117,"LACOMBE, T.; LAUCOU, V.; BOURSIQUOT, J. M.",2018,Pedigree ascertainment of interspecific grapevine cultivars,,20
RUBY CABERNET,10313,40269,"BUHNER-ZAHARIEVA, T.; MOUSSAOUI, S.; LORENTE, M.; ANDREU, J.; NUNEZ, R.; ORTIZ, J. M.; GOGORCENA, Y.",2010,Preservation and molecular characterization of ancient varieties in Spanish grapevine germplasm collections,10.5344/ajev.2010.09129,6
RUBY CABERNET,10313,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
RUBY CABERNET,10313,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUBY SEEDLESS,10314,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
RUBY SEEDLESS,10314,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUBY STAR,10316,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUEN,10237,753,"HVARLEVA, T.; RUSSANOV, K.; ATANASSOV I.",2005,Mircosatellite Markers for Characterization of Grape Geneteic Resources and Identification of QTLs for Important Agronomic Traits,10.1080/13102818.2005.10817291,11
RUFETE,10331,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
RUFETE,10331,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUGGERI   140,10351,40902,"RIAZ, S.; PAP, D.; URETSKY, J.; LAUCOU, V.; BOURSIQUOT, J. M.; KOCSIS, L.; WALKER, M. A.",2019,Genetic diversity and parentage analysis of grape rootstocks,10.1007/s00122-019-03320-5,21
RUGGERI   205,15128,40833,"MIGLIARO, D.; DE LORENZIS, G.; DI LORENZO, G. S.; DE NARDI, B.; GARDIMAN, M.; FAILLA, O.; BRANCADORO, L.; CRESPAN, M.",2019,Grapevine Non-,10.5344/ajev.2019.18054,17
RUGGERI   225,10362,40902,"RIAZ, S.; PAP, D.; URETSKY, J.; LAUCOU, V.; BOURSIQUOT, J. M.; KOCSIS, L.; WALKER, M. A.",2019,Genetic diversity and parentage analysis of grape rootstocks,10.1007/s00122-019-03320-5,21
RUGGERI   240,10363,40833,"MIGLIARO, D.; DE LORENZIS, G.; DI LORENZO, G. S.; DE NARDI, B.; GARDIMAN, M.; FAILLA, O.; BRANCADORO, L.; CRESPAN, M.",2019,Grapevine Non-,10.5344/ajev.2019.18054,17
RUGGERI   300,10368,40833,"MIGLIARO, D.; DE LORENZIS, G.; DI LORENZO, G. S.; DE NARDI, B.; GARDIMAN, M.; FAILLA, O.; BRANCADORO, L.; CRESPAN, M.",2019,Grapevine Non-,10.5344/ajev.2019.18054,17
RUGGERI   325,10371,40833,"MIGLIARO, D.; DE LORENZIS, G.; DI LORENZO, G. S.; DE NARDI, B.; GARDIMAN, M.; FAILLA, O.; BRANCADORO, L.; CRESPAN, M.",2019,Grapevine Non-,10.5344/ajev.2019.18054,17
RUGGERI   333,10372,40833,"MIGLIARO, D.; DE LORENZIS, G.; DI LORENZO, G. S.; DE NARDI, B.; GARDIMAN, M.; FAILLA, O.; BRANCADORO, L.; CRESPAN, M.",2019,Grapevine Non-,10.5344/ajev.2019.18054,17
RUMENIKA,15481,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
RUSALKA 3,15826,40858,"KARASTAN, O. M.; MULIUKINA, N. A.; PAPINA, O. S.",2018,Verification of grape pedigree by microsatellite analysis,10.3103/S0095452718050031,9
RUSENSKO EDRO,10409,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUTILIA,4432,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
RUTILIA,4432,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUZEVINA,10423,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
RUZEVINA,10423,40875,"ZULJ MIHALJEVIC, M.; MALETIC, E.; PREINER, D.; ZDUNIC, G.; BUBOLA, M.; ZYPRIAN, E.; PEJIC, I.",2020,"Genetic diversity, population structure, and parentage analysis of Croatian grapevine germplasm",10.3390/genes11070737,28
SABRA FEMELLE,24305,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SACY,10450,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
SACY,10450,40121,"BOURSIQUOT, J.-M.; LACOMBE, T.; BOWERS, J.; MEREDITH, C.",2004,"Le Gouais, un cépage clé du patrimoine viticole Européen",,14
SACY,10450,40016,"BOWERS, J.E.; BOURSIQUOT, J.-M.; THIS, P.; CHU, K.; JOHANSSON, H.; MEREDITH, C.",1999,"Historical genetics: The parentage of Chardonnay, Gamay and other wine grapes of northeastern France",10.1126/science.285.5433.1562,32
SACY,10450,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SACY,10450,40055,"SEFC, K.M.; LEFORT, F.; GRANDO, M.S.; SCOTT, K.D.; STEINKELLER, H.; THOMAS, M.R.",2001,Microsatellite markers for grapevine: A state of the art,,
SAGRESTANA,23350,40856,"CRESPAN, M.; MIGLIARO, D.; LARGER, S.; PINDO, M.; PETRUSSI, C.; STOCCO, M.; RUSJAN, D.; SIVILOTTI, P.; VELASCO, R.; MAUL, E.",2020,"Unraveling the genetic origin of ‘Glera’, ‘Ribolla Gialla’ and other autochthonous grapevine varieties from Friuli Venezia Giulia (northeastern Italy)",10.1038/s41598-020-64061-w,12
SAINT COME,10468,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAINT FIACRE,10469,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAINT LOUIS FAUX,41978,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAINT PIERRE DORE,10475,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAINTON,10479,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAINTONGE,13036,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SALICETTE (COLLECTION PARC DE LA TETE D'OR),10501,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SALVATICO,22907,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
SAN LORENZO,26719,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
SAN LUNARDO,10429,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
SAN MARTINO,10671,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
SAN MICHELE,10672,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
SAN MICHELE,10672,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
SAN PIETRO E PAOLO (EX TRUNZO),26505,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
SANGUINELLA,26213,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
SANTA MAGDALENA,10690,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
SANTA MAGDALENA,10690,638,"GARCIA-MUNOZ, S.",2011,"Estudio de variedades minoritarias de vid (Vitis vinifera L.): Descripción, caracterización agronómica y enológica de material procedente de las Islas Baleares",,19
SANTA MAGDALENA,10690,40310,"GARCIA-MUNOZ, S.; LACOMBE, T.; ANDRES, M. T. DE; GAFORIO, L.; MUNOZ-ORGANERO, G.; LAUCOU, V.; THIS P.; CABELLO, F.",2012,Grape varieties (,10.1007/s10722-011-9706-5,19
SANTA MAGDALENA,10690,40347,"GHAFFARI, S.; HASNAOUI, N.; ZINELABIDINE, L. H.; FERCHICHI, A.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2014,Genetic diversity and parentage of Tunisian wild and cultivated grapevines (,10.1007/s11295-014-0746-9,
SANTA MAGDALENA,10690,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SANTA MAGDALENA,10690,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
SANTA MARIA,22981,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
SAO ROQUE   496- 25,15697,40894,"LUCIANO DE OLIVEIRA, G.; PEREIRA DE SOUZA, A.; ANCELMO DE OLIVEIRA, F.; IMACULADA ZUCCHI, M.; MOURA DE SOUZA, L.; FERNANDES MOURA, M.",2020,Genetic structure and molecular diversity of Brazilian grapevine germplasm: Management and use in breeding programs,10.1371/journal.pone.0240665,12
SAO ROQUE 5010-   8,15700,40894,"LUCIANO DE OLIVEIRA, G.; PEREIRA DE SOUZA, A.; ANCELMO DE OLIVEIRA, F.; IMACULADA ZUCCHI, M.; MOURA DE SOUZA, L.; FERNANDES MOURA, M.",2020,Genetic structure and molecular diversity of Brazilian grapevine germplasm: Management and use in breeding programs,10.1371/journal.pone.0240665,12
SARBA,10738,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAUTERNE BLANC,10788,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAUVIGNON PICCOLO FAUX,41982,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SAVVATIANO,10798,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SCACCO,10806,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
SCHEU 10514,17502,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SCHEUREBE,10818,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SCHEUREBE,10818,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,38
SCHIRAS DR. HOUDBINE,17347,40140,"LACOMBE, T.; BOURSIQUOT, J.-M. ; LAUCOU, V.; DECHESNE, F.; VARÈS, D.; THIS, P.",2007,Relationships and genetic diversity within the accesions related to Malvasia held in the Domaine de Vassal grape germplams repository,,20
SCHIRAS DR. HOUDBINE,17347,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SCHOENBURGER,10833,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,20
SCHUYLER,10835,40144,"BAUTISTA, J.; DANGL, G. S.; YANG, J.; REISCH, B.; STOVER, E.",2008,Use of genetic markers to assess pedigrees of grape cultivars and breeding program selections,,15
SCIACCARELLO,10837,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
SEGALIN,10857,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SEIBEL    57,10875,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
SEIBEL   110,10891,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,22
SEIBEL   149,10903,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,22
SEIBEL   428,10937,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,24
SEIBEL   437,10938,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,22
SEIBEL   600,10947,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,22
SEIBEL   626,10951,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
SEIBEL   867,10975,40828,"RÖCKEL, F.; TRAPP, O.; ZYPRIAN, E.; HAUSMANN, L.; MIGLIARO, D.; VEZZULLI, S.; TÖPFER, R.; MAUL, E.",2021,"A 'Regent' pedigree update: ancestors, offspring and their confirmed resistance loci",10.5073/vitis.2021.60.189-193,24
SEIBEL   880,10976,40828,"RÖCKEL, F.; TRAPP, O.; ZYPRIAN, E.; HAUSMANN, L.; MIGLIARO, D.; VEZZULLI, S.; TÖPFER, R.; MAUL, E.",2021,"A 'Regent' pedigree update: ancestors, offspring and their confirmed resistance loci",10.5073/vitis.2021.60.189-193,24
SEIBEL  8724,11310,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
SELECT,16868,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SELEKTION OPPENHEIM 4,11473,40833,"MIGLIARO, D.; DE LORENZIS, G.; DI LORENZO, G. S.; DE NARDI, B.; GARDIMAN, M.; FAILLA, O.; BRANCADORO, L.; CRESPAN, M.",2019,Grapevine Non-,10.5344/ajev.2019.18054,17
SELEKTION OPPENHEIM 4,11473,40902,"RIAZ, S.; PAP, D.; URETSKY, J.; LAUCOU, V.; BOURSIQUOT, J. M.; KOCSIS, L.; WALKER, M. A.",2019,Genetic diversity and parentage analysis of grape rootstocks,10.1007/s00122-019-03320-5,21
SEMEBAT,11477,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
SEMEBAT (NON IDENTIFIED),42092,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
SEMENAC 1-17-1,27464,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
SENA,11483,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
SENA,11483,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
SENA,11483,863,"ZINELABIDINE, L. H.; CUNHA, J.; EIRAS-DIAS, J. E.; CABELLO, F.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2015,Pedigree analysis of the Spanish grapevine cultivar 'Heben',10.5073/vitis.2015.54.special-issue.81-86,
